uniq_idx,error,fold,sentence,bias,lex_bias
62fox11,tn,,It was not immediately clear how the official defined “targeting.”,0,0
62fox37,tn,0.0,"""In addition we only ever comply with orders for requests about specific accounts or identifiers,"" the spokesperson said.",0,0
63fox0,tn,,Rep. Alexandria Ocasio-Cortez took a stand for fellow House freshman Rep. Rashida Tlaib on Saturday after the latter’s expletive-laced comments in favor of impeaching President Trump.,0,0
63fox2,tp,,"“Republican hypocrisy at its finest: saying that Trump admitting to sexual assault on tape is just ‘locker room talk,’ but scandalizing themselves into faux-outrage when my sis says a curse word in a bar,” Ocasio-Cortez tweeted. ",1,0
63fox12,tn,0.0,"“And when your son looks at you and says: ‘Momma, look you won. Bullies don’t win.’ ",0,0
63fox13,tn,,"And I said, ‘Baby, they don’t, because we’re gonna go in there and we’re gonna impeach the motherf***er.’”",0,0
83nyt2,tn,0.0,“President Obama and the Democrats have had their chance and they have failed.,0,0
83nyt14,tn,,"But Mr. Labrador’s path to victory is steep, especially in the few days before House Republicans gather to elect Mr. Cantor’s replacement.",0,0
83nyt19,tn,0.0,"For his part, Mr. Boehner has remained firm that he wanted to get it done quickly and minimize disruption.",0,0
83nyt22,fn,0.0,Some lawmakers questioned whether his run was really a quest to win the majority leader’s post or merely to raise his own profile.,1,0
82nyt6,fp,,Mr. Bloomberg made his billions in finance and technology; Mr. Trump got his start in real estate before becoming a casino magnate and then a reality-show celebrity.,0,0
82nyt8,tn,0.0,"“I’ve been by Mike’s side for 19 years, and I’ve never met Donald Trump,” said Kevin Sheekey, an adviser to Mr. Bloomberg, underscoring the extent to which the men were not close.",0,0
82nyt14,fn,0.0,"“How about the mayor starts it off in honor of the city?” Mr. Trump was quoted as saying, playing peacemaker and showing deference to Mr. Bloomberg.",1,0
87fox4,tn,,The ad is a state-wide buy in Iowa that starts Wednesday.,0,0
87fox5,tn,,"Perry ties his faith to his conservative stands on social issues, and the campaign has zeroed in on gay marriage and social issues recently, releasing several statements laying out its argument that Obama is attacking the fundamentals social conservative believe in.",0,0
86fox3,tn,0.0,"He will be great!""",0,0
86fox4,tn,,Shanahan is a former Boeing executive who joined the Pentagon in July 2017.,0,0
86fox13,tn,,"Ground troops moved into Syria in 2015 to combat ISIS in the region, amid an escalating Syrian civil war. ",0,0
86fox24,tp,0.0,"""If anybody but your favorite President, Donald J. Trump, announced that, after decimating ISIS in Syria, we were going to bring our troops back home (happy & healthy), that person would be the most popular hero in America,"" he continued in a follow-up tweet. ",1,0
11nyt14,tn,,"Mr. Trump relented as the effects of the shutdown were rippling with ever greater force across the economy, with fallout far beyond paychecks.",0,0
11nyt21,tn,,"“Have I not been clear on a wall?” Ms. Pelosi said at a news conference with Senator Chuck Schumer of New York, the Democratic leader.",0,0
11nyt24,tn,,"She had rescinded her invitation this week to come to the House chamber until the government was reopened, and on Friday, she said she would work with Mr. Trump to find a new date.",0,0
11nyt45,tn,,The president’s concession came a day after two competing measures to reopen the government failed on the Senate floor.,0,0
10nyt2,tn,,"Before the reading began, Jay Inslee, Democrat of Washington, asked Republicans to illuminate exactly what part of the Constitution would be read, what parts would be deleted and who would decide how things would unfold.",0,0
10nyt7,tn,,"And so, sentence by sentence, in accents that reflect the myriad districts that did not even exist when the document came into being, by women and African Americans whose full rights were not recognized at that time, the constitutional language fluttered through the chamber.",0,0
10nyt12,tn,0.0,He added: “I think it is important that we send a message to people at home that the constitution is an important document.”,0,0
10nyt17,tn,0.0,"According to the Office of the Historian of the House of Representatives, the only two prior instances in which a full or partial text of the Constitution was inserted into the Congressional Record was in 1882, when Roswell Flower of New York “appended” a text of the Constitution — minus the amendments — into the record, and in 1915, when Thomas Reilly of Connecticut inserted the full text of the Constitution into the Congressional Record as an extension of his remarks.",0,0
14fox9,tn,0.0,"Holder also described how once, while living in the Georgetown neighborhood of Washington, he was running to catch a movie with his cousin when a squad car rolled up and flashed its lights at the pair.",0,0
14fox11,tn,,"His cousin ""started mouthing off,"" and Holder urged him to be quiet.",0,0
14fox12,tn,0.0,"""We negotiate the whole thing, and we walk to our movie.",0,0
14fox17,tn,,"On Wednesday night, a diminished number of protesters marched around a single block in Ferguson as a thunderstorm filled the sky with lighting and dumped rain.",0,0
14fox18,tn,,"Police still stood guard, but many wore regular uniforms rather than riot gear.",0,0
9nyt5,tn,,"A grand jury indicted the officers on Friday, accusing them of conspiring to interfere with the outcome of the 2016 presidential election by hacking the Democratic National Committee, Hillary Clinton’s presidential campaign and the Democratic Congressional Campaign Committee.",0,0
9nyt6,tn,,"The indictment is part of an open investigation led by Robert S. Mueller III, the special counsel, who is examining whether the Trump campaign colluded with Russia, and whether Mr. Trump obstructed justice.",0,0
9nyt12,tp,,"“For the president to break with the normal practice and meet with the Russian president alone, I wouldn’t trust what he says there.”",1,0
9nyt14,tn,,"“It’s important for us to avoid thinking politically, as Republicans or Democrats, and instead to think patriotically as Americans,” Mr. Rosenstein said.",0,0
9nyt21,tn,,"But with the exception of Mr. McCain, Republicans steered clear of discussing whether Mr. Trump should cancel Monday’s meeting in Helsinki.",0,0
9nyt24,tn,0.0,Mr. Jordan said the president has already “been clear he is going to ask Mr. Putin some tough questions.”,0,0
24hpo0,tp,,"Roger Stone, an eccentric longtime Republican strategist with a tattoo of Richard Nixon’s face on his back, was arrested early Friday on criminal charges that include obstruction of an official proceeding, false statements and witness tampering.",1,1
24hpo5,tn,,"Stone ― who worked on presidential campaigns for Nixon, Ronald Reagan, Bob Dole and others ― took credit for Donald Trump’s presidential run and served as an informal adviser after he left Trump’s campaign in August 2015.",0,0
25hpo0,tn,,"WASHINGTON ― In a stinging blow to President Barack Obama, the Senate voted Wednesday to override his veto of a bill to let 9/11 victims sue Saudi Arabia for its alleged role in the terrorist attacks.",0,1
25hpo3,tn,,"“This is pretty much close to a miraculous occurrence,” Cornyn said before the vote.",0,0
25hpo11,tn,,"That puts him on the same page as Clinton, who has said she backs the bill.",0,0
25hpo18,tn,0.0,"The White House has fought against the bill for months, to no avail.",0,0
25hpo20,tn,,"The European Union and former top executive branch officials have urged Obama to stop it, in the name of protecting sovereign immunity.",0,0
25hpo29,tn,,"White House press secretary Josh Earnest last week downplayed the significance of Obama getting such a strong rebuke from Congress, including from Democratic leaders.",0,0
58nyt1,tn,0.0,"But the proposal, which Mr. Trump unveiled in a 13-minute address from the White House, appeared dead on arrival in the Capitol.",0,0
58nyt2,fn,,"Speaker Nancy Pelosi rejected it even before Mr. Trump spoke, and Senator Chuck Schumer, the Democratic leader, denounced the offer as “not a compromise but more hostage taking.”",1,0
58nyt8,tn,,But Democrats continued to insist they will not negotiate with Mr. Trump over border security until the government reopens.,0,0
58nyt12,tn,,"In the deal he outlined on Saturday, Mr. Trump offered to restore T.P.S. protection for 300,000 people, and said he would allow 700,000 Dreamers to keep their protections for three more years in exchange for $5.7 billion for a border barrier.",0,0
58nyt17,tn,0.0,The speech was the second time during the shutdown that the president addressed the nation about the immigration crisis.,0,0
58nyt24,tn,,Mr. Trump noted that he had adopted some Democratic proposals on border security.,0,0
58nyt36,tn,,"Mr. Pence, briefing reporters after Mr. Trump’s remarks, said the speech reflected a painstaking process of listening to lawmakers, including rank-and-file Democrats who made it clear they believed that protections for DACA and T.P.S. recipients must be included in a border security deal.",0,0
58nyt38,tn,,"“There is no pathway to citizenship in this proposal,” Mr. Pence said.",0,0
58nyt42,tn,,He also noted that the president’s ability to declare a national emergency was “absolutely” still a tool available to Mr. Trump to find funds to build the wall if a legislative agreement could not be reached.,0,0
58nyt44,tn,0.0,"Mr. McConnell — who has insisted he will not put any legislation on the floor unless the president will sign it — spoke to Mr. Trump, Mr. Kushner and Mr. Pence on Thursday night about finding a way forward.",0,0
58nyt48,tn,,"Despite Democrats’ vow to reject the measure, it could create an opening for negotiations between the two sides.",0,0
59nyt0,tn,,"WASHINGTON — With just three weeks left for lawmakers to avert a fiscal crisis, President Obama and Speaker John A. Boehner met privately at the White House on Sunday as a top Republican senator suggested that his party should perhaps accede to Mr. Obama’s demand to raise the top tax rates so that the attention can shift to making serious cuts in benefit programs like Medicare and Medicaid.",0,0
82hpo10,fn,0.0,The real-estate developer also reacts defensively when his success is questioned.,1,0
83hpo8,tn,0.0,Eric is a good friend and I have tremendous respect for him.,0,0
83hpo15,tn,0.0,Rep. Jeb Hensarling (R-Texas) was considered a front-runner to challenge McCarthy.,0,0
83hpo25,tn,0.0,"A Labrador bid helps all parties regardless of the outcome -- including Labrador himself, since a run will elevate him as a leader inside the House GOP.",0,0
83hpo34,tn,0.0,"I think Raul brings that,"" Paul told reporters, according to the Spokesman-Review.",0,0
68fox2,tp,0.0,"""We are disappointed by the government's decision, but hardly surprised,"" said the statement from Grimm's attorney, William McGinley.",1,0
68fox11,tp,,"If you ever do that to me again, I'll throw you off this (expletive) balcony.""",1,0
69fox11,tn,,"For that year, the budget was $640 million.",0,0
10hpo2,tn,0.0,Republicans have made strict adherence to the Constitution a key tenet of their effort to reduce the size of the federal government.,0,0
10hpo5,tn,,“Call it the tea party-ization of Congress. ...,0,0
10hpo10,tn,,"“Beyond its symbolic power, however, it is unclear what impact the new rule will have upon the nation.",0,0
11hpo11,tn,,“I’m hopeful.”,0,0
21fox7,tn,0.0,The lawsuit says Colorado marijuana flows into neighboring states undermining their efforts to enforce their anti-marijuana laws.,0,0
21fox9,tp,0.0,"""While Colorado reaps millions from the sale of pot, Nebraska taxpayers have to bear the cost.""",1,0
21fox20,tn,,"The Rocky Mountain High Intensity Drug Trafficking Area wrote in a recent report that the amount of Colorado pot seized on highways increased from an annual average of 2,763 pounds between 2005 and 2008 to a yearly average of 3,690 pounds from 2009 to 2013.",0,0
21fox28,tn,,"""I'm not sure filing a lawsuit is the most constructive way to find a solution to whatever issues they are,"" he said.",0,0
20fox2,tn,,He said he “respects” Grassley and proclaimed his support for Iowa’s farmers.,0,1
20fox3,tn,0.0,"“I have tremendous respect for Iowa farmers and appreciate how important they are to our state, and I’m grateful to have the support of hundreds of farmers across Iowa,” he said.",0,0
20fox7,fp,0.0,"“To put this in stark contrast, if you help me win this race you may have someone with your background, your experience, your voice, someone who’s been literally fighting tort reform for thirty years, in a visible or public way, on the Senate Judiciary Committee,” he said.",0,0
8hpo9,fn,,"The son of Cuban immigrants, Rubio has challenged Obama's efforts to normalize diplomatic relations with the island, saying that closer ties would only help the communist Castro government keep power.",1,0
8hpo17,tn,,Jeb Bush later said he had misunderstood the question.,0,0
25nyt0,tn,,"As part of its final bit of business before the election, Congress is set to vote to override President Obama’s veto of a bill allowing families of those killed in the Sept. 11 attacks to sue Saudi Arabia for any role in the terrorist plot.",0,0
25nyt3,fp,0.0,"But their efforts, which come after both chambers overwhelmingly passed the bill, are almost certain to be futile, and members of both parties have vowed to override the bill.",0,0
9hpo2,tn,,"McCain tweeted that if Trump “is not prepared to hold Putin accountable,” the talks in Helsinki on Monday “should not move forward.”",0,0
24nyt8,tn,,"Prosecutors sealed details of the case because they feared that public disclosure would increase the risk of Mr. Stone fleeing or destroying or tampering with evidence, according to court documents.",0,1
24nyt15,tn,0.0,"In a brief interview later, Mr. Stone said he will plead not guilty, and people close to him have predicted that Mr. Trump could pardon Mr. Stone should he be convicted of any of the charges.",0,0
24nyt21,tn,,"“A senior Trump campaign official was directed to contact Stone about any additional releases and what other damaging information Organization 1 had regarding the Clinton campaign,” the indictment said, referring to WikiLeaks.",0,0
24nyt31,tn,0.0,"Still, it was revealed last year that, in the weeks before the election, Mr. Stone was messaging on Twitter with Guccifer 2.0, a pseudonym used by one or more operatives in the Russian intelligence scheme to steal the emails and funnel them to WikiLeaks.",0,0
59hpo3,tn,0.0,"""The President and Speaker had a frank meeting in the Oval Office tonight,"" said the statements.",0,0
56fox5,tp,0.0,The four-term New York senator and the dozens of other Democrats who initially voted Friday to block the spending bill had been lauded by their progressive base even as nearly 1 million federal workers were furloughed without pay.,1,0
56fox15,tn,0.0,"Members of the “No, DREAM, No Deal” began stepping up their calls for Schumer and others to “stand strong” Sunday night, when Senate Majority Leader Mitch McConnell, R-Ky., suggested a compromise had been reached, without offering any solid commitment.",0,0
56fox22,tn,0.0,"“Enough is enough,” said Lorella Praeli, director of immigration policy and campaigns at the American Civil Liberties Union.",0,0
56fox25,tn,,"The short-term deal now only gives Congress until Feb. 8 to work out longer-term legislation, and an agreement on immigration.",0,0
56fox28,tn,0.0,"The Dems have just learned that a Shutdown is not the answer!"" he said.",0,0
57fox0,tp,0.0,"Supreme Court Justice Ruth Bader Ginsburg faced a growing and bipartisan backlash Wednesday -- including a call from Donald Trump to resign -- as she doubled down on her criticism of the presumptive GOP nominee, calling him a “faker” who is unqualified to be president.",1,1
57fox13,tp,,... How has he gotten away with not turning over his tax returns?,1,0
57fox14,tn,0.0,"The press seems to be very gentle with him on that,"" she said.",0,0
57fox19,fn,0.0,Senate Majority Leader Mitch McConnell said Tuesday Ginsburg’s comments were “totally inappropriate.”,1,0
57fox31,tn,,The board noted the Code of Conduct for U.S. judges says that a “judge should not ... publicly endorse or oppose a candidate for public office.”,0,0
52nyt4,tp,,"The president himself responded on Twitter late Friday, calling the special counsel’s statement “a very sad day for journalism, but a great day for our Country!”",1,0
52nyt24,tn,0.0,"“There was a good chance that I wouldn’t have won, in which case I would have gotten back into the business, and why should I lose lots of opportunities?” he told reporters.",0,0
52nyt29,tn,0.0,"But he corrected himself during subsequent interviews and proved credible, the special counsel’s office said in a December sentencing memo.",0,0
52nyt31,tn,0.0,"Subsequently, he took care “not to overstate his knowledge or the role of others in the conduct under investigation” and provided “useful information” about his contacts with “persons connected to the White House” in 2017 and 2018, the special counsel’s filing said.",0,0
52nyt33,fn,,"Driven by greed, they said, he “repeatedly used his power and influence for deceptive ends.”",1,0
53nyt13,tn,,Mr. Huckabee has focused his economic message on what he calls wage stagnation under Mr. Obama.,0,0
7fox9,fp,,"""He's made some pretty outrageous comments that Mueller could not verify, Graham said.",0,1
7fox10,fp,0.0,"""He's getting into conspiracy land and he's acting like an Oliver Stone type figure.",0,0
7fox21,tn,0.0,Schiff on Monday signed a letter with his fellow House committee chairs demanding the full Mueller report by April 2.,0,0
6fox20,tn,,"Walsh also suggested Reid would suffer politically from his allegiance to Obama on other issues, despite his stance on the mosque.",0,0
6fox28,tn,0.0,"However, the poll showed that 64 percent think it would be wrong to build it, regardless of whether the developers are within their right to do so.",0,0
3nyt14,tn,,"The Democratic National Committee alerted reporters that Jennifer Granholm, the Democratic governor of Michigan, also supports the deal.",0,0
3nyt23,tn,,The letter says Mr. Obama “should not back down. Nor should we.”,0,0
2nyt8,tp,,"“This is plainly a power grab by a disappointed president, who has gone outside the bounds of the law to try to get what he failed to achieve in the constitutional legislative process,” Speaker Nancy Pelosi of California and Senator Chuck Schumer of New York, the Democratic leader, said in a joint statement.",1,0
2nyt22,tn,,"Indeed, Public Citizen, an advocacy group, filed suit by the end of the day on behalf of three Texas landowners whose property might be taken for a barrier.",0,0
2nyt28,tn,0.0,"The House Judiciary Committee announced Friday that it would investigate the president’s emergency claim, while House Democrats plan to introduce legislation to block it.",0,0
2nyt53,tn,,"“It actually creates zero precedent,” Mick Mulvaney, the acting White House chief of staff, told reporters.",0,0
2nyt70,tn,,"But Mr. Trump sought to drive home the personal toll of illegal immigration, inviting to the Rose Garden several relatives of Americans killed by people in the country without authorization.",0,0
67hpo7,tn,0.0,"""The reality is, we have more people older and who are living longer, so we need to make changes.",0,0
67hpo9,tn,0.0,"And we're certainly willing to talk about a package of changes that will keep Social Security strong.""",0,0
67hpo12,tn,,"Jonathan Cowan, president of centrist think tank Third Way, hailed AARP's apparent reversal, per the Journal story.",0,1
67hpo14,tn,,"""For decades, AARP has stood against any substantial changes to Social Security.",0,0
67hpo29,tn,0.0,"Rother's thinking, according to the paper, is that tax increases alone can't keep the program's $2.6 trillion trust fund from running out of money, so benefit cuts must be included as well.",0,0
67hpo35,tn,0.0,"The problem with plans to hike taxes is that they're politically unfeasible because of congressional Republicans' adamant opposition to any sort of tax increase, much less a tax increase not accompanied by a spending cut.",0,1
89nyt14,fn,0.0,"Marc Benioff, the chief executive officer of Salesforce.com, said on Thursday that his company would halt all corporate travel to Indiana.",1,0
89nyt15,fn,,"On Saturday, Mayor Ed Murray of Seattle announced a ban on city employees traveling to Indiana for work using city funds.",1,0
89nyt19,fn,,"In a statement on Thursday, the N.C.A.A. president, Mark Emmert, said the organization was “deeply concerned” about the legislation.",1,0
66hpo2,tn,,"Prior to this spring, the Internal Revenue Service did not recognize same-sex married couples pursuant to section 3 of DOMA.",0,0
66hpo18,tn,,The Treasury’s actions on Thursday are just the latest in a set of LGBT policies offered by agencies within the Obama administration following the DOMA ruling.,0,0
88nyt14,tn,0.0,"Among the Republicans vying to succeed Ms. Brewer, who cannot run for re-election because of term limits, there was broad consensus against the measure, which would expand the state’s definition of “exercise of religion” to protect businesses and citizens from lawsuits after denying services on religious grounds.",0,0
88nyt17,tn,,"Mr. Wilder, the governor’s spokesman, said Ms. Brewer’s office had received more than 10,000 calls and emails on the matter as of Monday morning.",0,0
75fox21,tn,,"And Sen. Kirsten Gillibrand of New York also chimed in, demanding that the “Mueller report must be made public.",0,0
75fox24,tn,,"South Bend, Ind., Mayor Pete Buttigieg, who’s seen his campaign surge in recent days, also called for the entire report to be released.",0,0
74fox8,tn,,"The ACLU said it supports making organizations report spending for public communications like TV ads that expressly call for the election or defeat of a candidate for office, but it worries the DISCLOSE ACT goes beyond that.",0,0
74fox10,fn,0.0,Republicans called the bill a Democratic power grab that amounts to a federal takeover of elections.,1,0
74fox11,fn,,"“Now, instead of getting money out of politics, the Democrats on this committee voted to pass a bill that will publicly fund – campaign travel, campaign dinners, and in some cases, the politicians themselves,” Illinois Rep. Rodney Davis wrote in an op-ed for The Hill.",1,0
71nyt13,tn,,"One Facebook user who lives near Austin, Tex., posted this status update:",0,0
70nyt13,tn,0.0,"He got started right away with rolling back the policies of his predecessor, former President Barack Obama, by issuing orders freezing new regulations from recent weeks and ordering agencies to “ease the burden” of the Affordable Care Act during the transition from repealing to replacing the law.",0,0
70nyt33,tn,0.0,"But the lingering animosity from the presidential campaign was on display, too.",0,0
70nyt41,tn,,"Hours before his departure, Mr. Obama posted on Twitter to thank followers and hint that he would not fade away.",0,0
70nyt55,tn,0.0,"He and Mrs. Trump, a former model from Slovenia who became the first foreign-born first lady since John Quincy Adams’s wife, Louisa, started the day with a service at St. John’s Episcopal Church adjacent to Lafayette Square, then joined the Obamas, Bidens and Pences for coffee at the White House.",0,0
70nyt57,tn,0.0,"Former President George Bush remained hospitalized in Houston, recovering from pneumonia, but a spokesman said he watched the ceremony on television.",0,0
70nyt61,tn,0.0,"Also there was Barron, his 10-year-old son with the first lady.",0,0
70nyt70,tn,,"“For too long,” he continued, “a small group in our nation’s capital has reaped the rewards of government while the people have borne the cost.",0,0
38nyt3,fn,0.0,"But while Ms. Pelosi won, 134 to 63, Mr. Ryan’s significant share of the total served as a measure of internal discontent and in some ways a repudiation of Ms. Pelosi’s leadership.",1,0
38nyt6,fn,0.0,"For years, support for Ms. Pelosi has run so deep that few would even consider challenging her.",1,0
38nyt18,tn,0.0,"After a dismal Election Day for Democrats, the fight for Ms. Pelosi’s post had become a proxy battle for the future of the party, with House Democrats agonizing over how to reconnect with the working-class voters who abandoned them.",0,0
39nyt8,tn,,"Some Republicans have expressed reservations about changing the rules, but Senator Lindsey Graham of South Carolina said Thursday that he would relent if it meant seating Judge Gorsuch.",0,0
39nyt33,fn,,"Two of Judge Gorsuch’s former colleagues on the United States Court of Appeals for the 10th Circuit, in Denver — Deanell Reece Tacha, appointed by President Ronald Reagan, and Robert Harlan Henry, appointed by President Bill Clinton — praised his intellect and temperament.",1,0
44hpo8,tp,0.0,"""That that is just outrageous talk,"" Boehner said.",1,0
44hpo9,fn,0.0,"""They’re trying to make this election, as I said earlier, about anything other than the president’s failed economic policies.",1,0
45hpo3,tn,0.0,He faces up to 48 years in prison.,0,0
45hpo7,tn,,"“The bottom line is that Americans must unify,” he went on.",0,0
45hpo15,tn,,“We are seeing a systematic attack on our democracy and our rule of law that extends much further than just one isolated terrorist in Florida.,0,0
33hpo11,tn,,"Her opposition also puts her at odds with her father, who offered support for gay marriage in 2009.",0,0
33hpo13,tn,0.0,"""As many of you know, one of my daughters is gay and it is something we have lived with for a long time in our family.",0,0
32hpo10,fp,,"While the Enquirer has an infamous reputation for tabloid journalism, it has also broken a number of major sex scandals over the years, including the extramarital affairs of former Sen. John Edwards (D-N.C.) and golfer Tiger Woods.",0,0
90fox0,tn,,"National Security Adviser Susan Rice warned that Israeli Prime Minister Benjamin Netanyahu’s upcoming Capitol Hill address will be a “destructive” force in long-standing U.S.-Israel relations, adding more political acrimony to the already contentious visit.",0,0
90fox6,tn,0.0,"Rice's statements were among the Obama administration's toughest on Netanyahu's speech, set for March 3.",0,0
90fox13,tn,,"While Netanyahu has long been skeptical of the negotiations, his opposition has increased over what he sees as Obama's willingness to make concessions that would leave Iran on the brink of being able to build a nuclear weapon.",0,0
90fox15,tn,0.0,Israeli officials warned this week that such a deal would allow Iran to become a nuclear threshold state.,0,0
91fox11,tn,0.0,"The plan, though, does call for a range of measures to improve access to mental health services and improve safety at America's schools.",0,0
91fox14,tn,0.0,Plus Obama is nominating ATF Acting Director Todd Jones to officially lead the agency,0,0
91fox27,tn,0.0,Some local officials have vowed to resist federal action.,0,1
94nyt12,fp,,“She has committed no crime except to follow me on Twitter.”,0,0
94nyt14,tp,,"“I’m protecting my wife, who every day is waking up to these insane stories that are getting so far from reality,” he told CNN.",1,0
94nyt16,tn,,"Asked on CNN whether he still wished to be mayor, he said, “Put it this way: It’s the only better job than the one I have.”",0,0
94nyt21,tn,0.0,"Despite the swirl of events that has buffeted him for several days, Mr. Weiner has not abandoned his sharp humor.",0,0
95NYT2,tn,0.0,"But they noticed that among the 15,000 documents they examined, there were no emails to or from an official departmental account for Mrs. Clinton.",0,0
95NYT8,tn,,"Beginning in August, senior State Department officials held negotiations with Mrs. Clinton’s lawyers and advisers to gain access to her personal email records.",0,0
95NYT24,tn,,Sensitive information is different from classified information.,0,0
95NYT25,tn,0.0,"It can be personal data, like Social Security numbers, or information on matters that other countries consider classified or important to their national security.",0,0
32nyt3,tn,,"Mr. Cruz has no affiliation with the super PAC, and he has denounced the ad.",0,0
32nyt6,tn,0.0,"On Wednesday, Mr. Cruz repeatedly quoted from the movie “The American President” to defend his wife, as she held an event and faced questions about Mr. Trump’s threats.",0,0
33nyt11,tn,0.0,"In an e-mail, Mary Cheney declined to comment further on her sister’s position, saying she would let her Facebook post speak for itself.",0,0
37fox0,tn,,"Republican senators kept up pressure on party Chairman Michael Steele Sunday to better explain -- and publicly apologize for -- his on-camera claim that Afghanistan is a ""war of Obama's choosing"" and may not be winnable.",0,0
37fox4,tn,0.0,"""This is America's war.",0,0
37fox5,tn,0.0,"It's not Obama's war.""",0,0
95HPO9,tn,,"Clinton responded to the controversy on Wednesday, tweeting that she had asked the State Department to make her private emails publicly available.",0,0
95HPO10,tn,0.0,"While on Mitchell's show, McCain also raised the concern that there's no way of knowing if all of Clinton's emails have been saved, since they were not originally retained by the government.",0,0
94hpo13,tn,0.0,"He insisted that he wanted to move on from the incident, which was distracting from his work on Capitol Hill.",0,0
94hpo18,tn,0.0,"I'm going to get back to the conversation I care about.""",0,0
94hpo20,tn,,Weiner was a Twitter follower of the female college student who received the photo.,0,0
71hpo2,tn,0.0,"Bachmann asked her followers on what became an unofficial ""Chick-fil-A Appreciation Day.""",0,0
39hpo5,tn,0.0,"That judges do not, as Chief Justice John Roberts once famously said, only call “balls and strikes.”",0,0
39hpo25,tn,0.0,"Responding to Gorsuch’s stated belief that justices have no partisan leanings, Sen. Al Franken (D-Minn.) explained, “And you know, you said earlier, there are no Democratic judges, there are no Republican judges.",0,0
39hpo27,fn,0.0,That’s what it was about.”,1,0
39hpo36,tn,,"After Gorsuch repeatedly stated that there was ample room for Congress to legislate without worrying about court decisions, Democrats reminded him of how the court’s decisions play a key role in shaping who is elected to Congress and, therefore, what bills can be passed in the first place.",0,0
38hpo2,tn,,"Pelosi defeated her lone challenger, Rep. Tim Ryan (Ohio), by a vote of 134 to 63.",0,0
