,verb,stemlem,pos1,my_subj,my_valence,strength
64,ameliorate,amelior,verb,2,1.0,1.0
65,amplify,amplifi,verb,1,0.0,1.0
66,amputate,amput,verb,1,-1.0,0.0
67,amuse,amus,verb,2,1.0,0.0
68,amusing,amus,anypos,2,1.0,0.0
69,anger,anger,verb,2,-1.0,0.0
70,anguish,anguish,verb,2,-1.0,0.0
71,annihilate,annihil,verb,2,-1.0,0.0
72,annoy,annoy,verb,2,-1.0,0.0
73,annoying,annoy,anypos,2,-1.0,0.0
74,antagonize,antagon,verb,2,-1.0,0.0
75,anxious,anxious,anypos,2,-1.0,0.0
76,ape,ape,verb,2,-1.0,0.0
77,apparent,appar,anypos,1,0.0,0.0
78,apparently,appar,anypos,1,0.0,0.0
79,appeal,appeal,verb,1,1.0,0.0
80,appear,appear,anypos,1,0.0,0.0
81,appease,appeas,verb,1,1.0,0.0
82,applaud,applaud,verb,2,1.0,0.0
83,appreciate,appreci,verb,2,1.0,1.0
84,appreciative,appreci,anypos,2,1.0,0.0
85,apprehend,apprehend,verb,1,0.0,0.0
86,approve,approv,verb,1,1.0,1.0
87,argue,argu,verb,2,-1.0,0.0
88,argumentative,argument,anypos,2,-1.0,0.0
89,arousal,arous,anypos,2,1.0,1.0
90,arouse,arous,verb,2,1.0,0.0
91,arrogant,arrog,anypos,2,-1.0,0.0
92,aspire,aspir,verb,2,1.0,1.0
93,assail,assail,verb,1,-1.0,0.0
94,assassinate,assassin,verb,1,-1.0,1.0
95,assent,assent,verb,2,1.0,1.0
96,assess,assess,verb,2,0.0,0.0
97,assuage,assuag,verb,1,1.0,0.0
98,assure,assur,verb,2,1.0,1.0
99,assuredly,assur,anypos,2,1.0,1.0
100,astonish,astonish,verb,2,1.0,0.0
101,astonishing,astonish,anypos,2,1.0,1.0
102,astonishingly,astonish,anypos,2,1.0,1.0
103,astound,astound,verb,2,1.0,0.0
104,asunder,asund,anypos,2,-1.0,0.0
105,atrophy,atrophi,verb,2,-1.0,0.0
106,attack,attack,verb,1,-1.0,0.0
107,attain,attain,verb,1,1.0,1.0
108,attest,attest,verb,2,1.0,0.0
109,award,award,verb,1,1.0,0.0
110,avenge,aveng,verb,2,-1.0,0.0
111,aver,aver,verb,2,1.0,0.0
112,averse,avers,anypos,2,-1.0,0.0
113,avoid,avoid,verb,1,-1.0,0.0
114,awe,awe,verb,2,1.0,0.0
115,awesome,awesom,anypos,2,1.0,1.0
116,awful,aw,anypos,2,-1.0,0.0
117,babble,babbl,verb,2,-1.0,0.0
118,back,back,verb,1,1.0,0.0
119,baffle,baffl,verb,2,-1.0,0.0
120,bait,bait,verb,2,-1.0,0.0
121,balk,balk,verb,2,-1.0,0.0
122,banish,banish,verb,2,-1.0,0.0
123,bankrupt,bankrupt,verb,1,-1.0,0.0
124,bar,bar,verb,1,-1.0,0.0
125,barely,bare,anypos,1,-1.0,0.0
126,bask,bask,verb,1,1.0,0.0
127,bastard,bastard,anypos,2,-1.0,0.0
128,battle,battl,verb,1,-1.0,1.0
129,beautiful,beauti,anypos,2,1.0,0.0
130,beautify,beautifi,verb,2,1.0,1.0
131,befriend,befriend,verb,2,1.0,0.0
132,beg,beg,verb,2,-1.0,0.0
133,believe,believ,verb,2,0.0,0.0
134,belittle,belittl,verb,2,-1.0,0.0
135,belligerent,belliger,anypos,2,-1.0,0.0
136,beneficial,benefici,anypos,2,1.0,1.0
137,bereft,bereft,anypos,2,-1.0,0.0
138,beseech,beseech,verb,2,-1.0,0.0
139,betray,betray,verb,2,-1.0,0.0
140,beware,bewar,verb,1,-1.0,0.0
141,bewilder,bewild,verb,2,-1.0,0.0
142,bias,bias,verb,2,-1.0,0.0
143,bicker,bicker,verb,2,-1.0,0.0
144,bickering,bicker,anypos,2,-1.0,0.0
145,bitch,bitch,verb,2,-1.0,0.0
146,bitterly,bitter,anypos,2,-1.0,0.0
147,blab,blab,verb,2,-1.0,0.0
148,blackmail,blackmail,verb,1,-1.0,0.0
149,blame,blame,verb,2,-1.0,0.0
150,blasphemous,blasphem,anypos,2,-1.0,0.0
151,blast,blast,anypos,1,-1.0,1.0
152,blather,blather,verb,2,-1.0,0.0
153,bleed,blee,verb,1,-1.0,0.0
154,blemish,blemish,verb,1,-1.0,0.0
155,bless,bless,verb,2,1.0,0.0
156,blind,blind,anypos,1,-1.0,0.0
157,blinding,blind,anypos,2,-1.0,0.0
158,blister,blister,verb,2,-1.0,0.0
159,block,block,verb,1,-1.0,0.0
160,bloom,bloom,verb,1,1.0,0.0
161,blossom,blossom,verb,1,1.0,0.0
162,blur,blur,verb,1,-1.0,0.0
163,blurt,blurt,verb,2,-1.0,0.0
164,boast,boast,verb,2,-1.0,0.0
165,boil,boil,verb,2,-1.0,0.0
166,bolster,bolster,verb,2,1.0,0.0
167,bombard,bombard,verb,1,-1.0,1.0
168,bomb,bomb,verb,1,-1.0,1.0
169,boost,boost,verb,1,1.0,1.0
170,bore,bear,verb,2,-1.0,0.0
171,boring,bore,anypos,2,-1.0,0.0
172,bother,bother,verb,2,-1.0,0.0
173,brainwash,brainwash,verb,2,-1.0,0.0
174,brave,brave,verb,2,1.0,1.0
175,brazen,brazen,anypos,2,-1.0,0.0
176,break,break,verb,1,-1.0,0.0
177,breakdown,breakdown,verb,1,-1.0,0.0
178,brighten,brighten,anypos,1,1.0,0.0
179,brilliant,brilliant,anypos,2,1.0,1.0
180,bristle,bristl,verb,2,-1.0,0.0
181,brood,brood,verb,2,-1.0,0.0
182,brook,brook,verb,2,1.0,0.0
183,bug,bug,verb,1,-1.0,0.0
184,buckle,buckl,verb,1,-1.0,0.0
185,burdensome,burdensom,anypos,2,-1.0,0.0
186,burn,burn,verb,2,-1.0,0.0
187,butcher,butcher,verb,1,-1.0,0.0
188,calamity,calam,anypos,2,-1.0,0.0
189,calm,calm,verb,1,1.0,0.0
190,calming,calm,anypos,2,1.0,0.0
191,capitalize,capit,verb,1,1.0,1.0
192,captivate,captiv,verb,2,1.0,1.0
193,care,care,verb,1,1.0,0.0
194,caricature,caricatur,verb,2,-1.0,0.0
195,carp,carp,verb,2,-1.0,0.0
196,catastrophe,catastroph,anypos,2,-1.0,0.0
197,catastrophic,catastroph,anypos,2,-1.0,0.0
198,cave,cave,verb,1,-1.0,0.0
199,celebrate,celebr,verb,2,1.0,1.0
200,celebratory,celebratori,anypos,2,1.0,1.0
201,censure,censur,verb,2,-1.0,0.0
202,certain,certain,anypos,1,0.0,0.0
203,chaff,chaff,verb,2,-1.0,0.0
204,chagrin,chagrin,verb,2,-1.0,0.0
205,champion,champion,anypos,1,1.0,1.0
206,charm,charm,verb,2,1.0,0.0
207,charming,charm,anypos,2,1.0,1.0
208,chastisement,chastis,anypos,2,-1.0,0.0
209,chatter,chatter,verb,2,-1.0,0.0
210,chatterbox,chatterbox,anypos,2,-1.0,0.0
211,cheat,cheat,verb,2,-1.0,0.0
212,cheater,cheater,anypos,2,-1.0,0.0
213,cheer,cheer,verb,2,1.0,1.0
214,cherish,cherish,verb,2,1.0,0.0
215,chill,chill,verb,1,-1.0,0.0
216,chit,chit,anypos,2,-1.0,0.0
217,choke,choke,verb,1,-1.0,0.0
218,claim,claim,anypos,1,0.0,0.0
219,cleanse,cleans,verb,1,1.0,0.0
220,clear,clear,anypos,1,1.0,0.0
221,clog,clog,verb,1,-1.0,0.0
222,cloud,cloud,verb,2,-1.0,0.0
223,coax,coax,verb,2,1.0,0.0
224,coerce,coerc,verb,2,-1.0,0.0
225,collapse,collaps,verb,1,-1.0,0.0
226,collide,collid,verb,1,-1.0,0.0
227,comfort,comfort,verb,1,1.0,0.0
228,comforting,comfort,anypos,2,1.0,0.0
229,commend,commend,verb,2,1.0,1.0
230,compel,compel,verb,2,-1.0,0.0
231,compensate,compens,verb,2,1.0,1.0
232,complain,complain,verb,2,-1.0,0.0
233,complement,complement,verb,1,1.0,0.0
234,complicate,complic,verb,1,-1.0,0.0
235,compliment,compliment,verb,2,1.0,0.0
236,complimentary,complimentari,anypos,2,1.0,0.0
237,comprehend,comprehend,verb,2,0.0,0.0
238,compromise,compromis,verb,1,1.0,1.0
239,concede,conced,verb,2,-1.0,0.0
240,concern,concern,verb,1,-1.0,0.0
241,concerned,concern,anypos,2,-1.0,0.0
242,concur,concur,verb,2,1.0,0.0
243,condemn,condemn,anypos,2,-1.0,0.0
244,condemn,condemn,verb,2,-1.0,0.0
245,condone,condon,verb,2,1.0,0.0
246,confer,confer,verb,1,1.0,0.0
247,confess,confess,verb,2,-1.0,0.0
248,confide,confid,verb,2,0.0,0.0
249,confound,confound,anypos,1,-1.0,0.0
250,confound,confound,verb,1,-1.0,0.0
251,confounded,confound,anypos,1,-1.0,0.0
252,confront,confront,verb,1,-1.0,1.0
253,confuse,confus,verb,2,-1.0,0.0
254,confused,confus,anypos,2,-1.0,0.0
255,confusing,confus,anypos,2,-1.0,0.0
256,congratulate,congratul,verb,2,1.0,1.0
257,congratulatory,congratulatori,anypos,2,1.0,0.0
258,conjecture,conjectur,verb,2,0.0,0.0
259,conquer,conquer,verb,1,1.0,1.0
260,consent,consent,verb,2,1.0,0.0
261,consider,consid,verb,2,0.0,0.0
262,console,consol,verb,1,1.0,0.0
263,conspire,conspir,verb,2,-1.0,0.0
264,constrain,constrain,verb,1,-1.0,0.0
265,consume,consum,verb,1,-1.0,0.0
266,contaminate,contamin,verb,1,-1.0,0.0
267,contemplate,contempl,verb,2,0.0,0.0
268,contend,contend,verb,2,-1.0,1.0
269,content,content,verb,1,1.0,0.0
270,contradict,contradict,verb,2,-1.0,0.0
271,contravene,contraven,verb,2,-1.0,0.0
272,contrived,contriv,anypos,2,-1.0,0.0
273,convenient,conveni,anypos,2,1.0,0.0
274,convince,convinc,verb,1,1.0,1.0
275,cooperate,cooper,verb,1,1.0,0.0
276,correct,correct,anypos,1,1.0,1.0
277,corrupt,corrupt,verb,2,-1.0,0.0
278,court,court,verb,2,1.0,1.0
279,cow,cow,verb,1,-1.0,0.0
280,cowardly,coward,anypos,2,-1.0,0.0
281,crave,crave,verb,2,1.0,1.0
282,crazy,crazi,anypos,2,-1.0,0.0
283,cringe,cring,verb,2,-1.0,0.0
284,cripple,crippl,verb,2,-1.0,0.0
285,critical,critic,anypos,2,-1.0,0.0
286,criticize,critic,verb,2,-1.0,0.0
287,crumble,crumbl,verb,1,-1.0,0.0
288,crush,crush,verb,1,-1.0,0.0
289,cry,cri,verb,2,-1.0,0.0
290,curious,curious,anypos,2,1.0,0.0
291,curse,curs,verb,2,-1.0,0.0
292,cursed,curs,anypos,2,-1.0,0.0
293,cuss,cuss,verb,2,-1.0,0.0
294,cut,cut,verb,1,-1.0,0.0
295,damage,damag,verb,1,-1.0,0.0
296,damn,damn,verb,2,-1.0,0.0
297,damnation,damnat,anypos,2,-1.0,0.0
298,damned,damn,anypos,2,-1.0,0.0
299,dance,danc,verb,1,1.0,0.0
300,dangle,dangl,verb,2,-1.0,0.0
301,dare,dare,verb,2,1.0,0.0
302,daring,dare,anypos,2,1.0,1.0
303,darken,darken,verb,1,-1.0,0.0
304,darling,darl,anypos,2,1.0,0.0
305,darn,darn,anypos,2,-1.0,0.0
306,dash,dash,verb,1,-1.0,0.0
307,dastardly,dastard,anypos,2,-1.0,0.0
308,dawdle,dawdl,verb,2,-1.0,0.0
309,dawn,dawn,verb,1,1.0,0.0
310,daydream,daydream,verb,2,1.0,0.0
311,daze,daze,verb,2,-1.0,0.0
312,dazzle,dazzl,verb,2,1.0,0.0
313,dazzling,dazzl,anypos,2,1.0,1.0
314,deadlock,deadlock,verb,2,-1.0,0.0
315,debatable,debat,anypos,2,-1.0,0.0
316,debate,debat,verb,2,-1.0,0.0
317,decay,decay,verb,2,-1.0,0.0
318,decayed,decay,anypos,2,-1.0,0.0
319,deceitful,deceit,anypos,2,-1.0,0.0
320,deceive,deceiv,verb,2,-1.0,0.0
321,decide,decid,verb,1,0.0,1.0
322,decline,declin,verb,1,-1.0,0.0
323,decrease,decreas,verb,1,-1.0,0.0
324,decry,decri,verb,2,-1.0,0.0
325,deduce,deduc,verb,2,0.0,0.0
326,defamatory,defamatori,anypos,2,-1.0,0.0
327,defeat,defeat,verb,1,-1.0,0.0
328,defend,defend,verb,1,1.0,0.0
329,deform,deform,verb,1,-1.0,0.0
330,defy,defi,verb,2,-1.0,0.0
331,degenerate,degener,verb,2,-1.0,0.0
332,degrade,degrad,verb,2,-1.0,0.0
333,delight,delight,verb,2,1.0,0.0
334,delightful,delight,anypos,2,1.0,0.0
335,delude,delud,verb,2,-1.0,0.0
336,delusional,delusion,anypos,2,-1.0,0.0
337,demolish,demolish,verb,1,-1.0,0.0
338,deny,deni,verb,2,-1.0,0.0
339,denounce,denounc,verb,2,-1.0,0.0
340,deplorable,deplor,anypos,2,-1.0,0.0
341,deplore,deplor,verb,2,-1.0,0.0
342,depress,depress,verb,1,-1.0,0.0
343,depressing,depress,anypos,2,-1.0,0.0
344,deprive,depriv,verb,2,-1.0,0.0
345,desecrate,desecr,verb,2,-1.0,0.0
346,deserve,deserv,verb,2,1.0,0.0
347,desert,desert,verb,2,-1.0,0.0
348,desire,desir,verb,2,1.0,0.0
349,desirous,desir,anypos,2,1.0,0.0
350,despair,despair,verb,2,-1.0,0.0
351,despise,despis,verb,2,-1.0,0.0
352,destroy,destroy,verb,1,-1.0,0.0
353,deter,deter,verb,1,-1.0,0.0
354,deterrent,deterr,anypos,1,-1.0,0.0
355,detest,det,verb,2,-1.0,0.0
356,detract,detract,verb,1,-1.0,0.0
357,devastate,devast,anypos,2,-1.0,0.0
358,devastated,devast,anypos,2,-1.0,0.0
359,devastating,devast,anypos,2,-1.0,0.0
360,deviate,deviat,verb,1,-1.0,0.0
361,devious,devious,anypos,2,-1.0,0.0
362,devote,devot,verb,2,1.0,0.0
363,diatribe,diatrib,anypos,2,-1.0,0.0
364,differ,differ,verb,1,0.0,0.0
365,dig,dig,verb,1,1.0,0.0
366,dignify,dignifi,verb,1,1.0,1.0
367,digress,digress,verb,2,-1.0,0.0
368,dim,dim,anypos,1,-1.0,0.0
369,diminish,diminish,verb,1,-1.0,0.0
370,dirty,dirti,anypos,1,-1.0,0.0
371,disable,disabl,verb,1,-1.0,0.0
372,disagree,disagre,verb,2,-1.0,0.0
373,disagreeable,disagre,anypos,2,-1.0,0.0
374,disallow,disallow,verb,2,-1.0,0.0
375,disappoint,disappoint,verb,2,-1.0,0.0
376,disappointing,disappoint,anypos,2,-1.0,0.0
377,disapprove,disapprov,anypos,2,-1.0,0.0
378,disapproving,disapprov,anypos,2,-1.0,0.0
379,disarm,disarm,verb,1,-1.0,0.0
380,disbelieve,disbeliev,verb,2,-1.0,0.0
381,discern,discern,verb,2,0.0,0.0
382,discerning,discern,anypos,2,1.0,1.0
383,disclaim,disclaim,verb,2,-1.0,0.0
384,disconcerting,disconcert,anypos,2,-1.0,0.0
385,discourage,discourag,verb,2,-1.0,0.0
386,discouraging,discourag,anypos,2,-1.0,0.0
387,discredit,discredit,verb,2,-1.0,0.0
388,discriminate,discrimin,verb,1,-1.0,0.0
389,disdain,disdain,verb,2,-1.0,0.0
390,disdainful,disdain,anypos,2,-1.0,0.0
391,disgrace,disgrac,verb,2,-1.0,0.0
392,disgraceful,disgrac,anypos,2,-1.0,0.0
393,disgust,disgust,verb,2,-1.0,0.0
394,disgusting,disgust,anypos,2,-1.0,0.0
395,disheartening,dishearten,anypos,2,-1.0,0.0
396,dishonor,dishonor,verb,2,-1.0,0.0
397,disinclined,disinclin,anypos,2,-1.0,0.0
398,disintegrate,disintegr,verb,1,-1.0,0.0
399,dislike,dislik,verb,2,-1.0,0.0
400,disloyalty,disloyalti,anypos,2,-1.0,0.0
401,dismay,dismay,verb,2,-1.0,0.0
402,disobey,disobey,verb,2,-1.0,0.0
403,disown,disown,verb,2,-1.0,0.0
404,disown,disown,verb,2,-1.0,0.0
405,disorder,disord,verb,1,-1.0,0.0
406,disparage,disparag,verb,2,-1.0,0.0
407,displace,displac,verb,1,-1.0,0.0
408,displease,displeas,verb,2,-1.0,0.0
409,disprove,disprov,verb,2,-1.0,0.0
410,dispute,disput,verb,2,-1.0,0.0
411,disrespect,disrespect,verb,2,-1.0,0.0
412,disrespectful,disrespect,anypos,2,-1.0,0.0
413,disrupt,disrupt,verb,2,-1.0,0.0
414,dissuade,dissuad,verb,2,-1.0,0.0
415,distinguish,distinguish,verb,1,1.0,0.0
416,distort,distort,verb,2,-1.0,0.0
417,distract,distract,verb,1,-1.0,0.0
418,distress,distress,verb,2,-1.0,0.0
419,distrust,distrust,verb,2,-1.0,0.0
420,disturb,disturb,verb,2,-1.0,0.0
421,disturbing,disturb,anypos,2,-1.0,0.0
422,divide,divid,verb,1,-1.0,0.0
423,divine,divin,anypos,2,1.0,1.0
424,divorce,divorc,verb,1,-1.0,0.0
425,dominate,domin,verb,1,-1.0,1.0
426,doom,doom,verb,2,-1.0,0.0
427,doubt,doubt,verb,2,-1.0,0.0
428,downright,downright,anypos,2,0.0,0.0
429,dread,dread,anypos,2,-1.0,0.0
430,dread,dread,verb,2,-1.0,0.0
431,dreadful,dread,anypos,2,-1.0,0.0
432,dreadfully,dread,anypos,2,-1.0,0.0
433,dream,dream,verb,2,1.0,0.0
434,dud,dud,anypos,1,-1.0,0.0
435,dupe,dupe,verb,2,-1.0,0.0
436,dying,die,anypos,1,-1.0,0.0
437,earnestly,earnest,anypos,2,1.0,1.0
438,earnestness,earnest,anypos,2,1.0,0.0
439,ease,eas,verb,1,1.0,0.0
440,easily,easili,anypos,1,1.0,0.0
441,ejaculate,ejacul,verb,2,-1.0,0.0
442,electrify,electrifi,verb,1,1.0,1.0
443,elevate,elev,verb,1,1.0,1.0
444,eliminate,elimin,verb,1,-1.0,0.0
445,elite,elit,anypos,1,1.0,1.0
446,emaciated,emaci,anypos,2,-1.0,0.0
447,embarrass,embarrass,verb,2,-1.0,0.0
448,embarrassing,embarrass,anypos,2,-1.0,0.0
449,embellish,embellish,verb,2,1.0,1.0
450,embrace,embrac,verb,2,1.0,0.0
451,empathize,empath,verb,2,-1.0,0.0
452,emphatic,emphat,anypos,2,-1.0,1.0
453,empower,empow,verb,1,1.0,1.0
454,enable,enabl,verb,1,1.0,1.0
455,enchant,enchant,verb,2,1.0,0.0
456,enchanted,enchant,anypos,2,1.0,0.0
457,enchanting,enchant,anypos,2,1.0,1.0
458,encourage,encourag,verb,1,1.0,1.0
459,encroach,encroach,verb,1,-1.0,1.0
460,endanger,endang,verb,2,-1.0,0.0
461,endorse,endors,verb,2,1.0,0.0
462,endure,endur,verb,2,1.0,0.0
463,energize,energ,verb,1,1.0,1.0
464,engage,engag,verb,1,0.0,1.0
465,engrossing,engross,anypos,2,1.0,1.0
466,engulf,engulf,verb,1,-1.0,0.0
467,enhance,enhanc,verb,1,1.0,1.0
468,enjoin,enjoin,verb,2,-1.0,1.0
469,enjoy,enjoy,verb,1,1.0,1.0
470,enlighten,enlighten,verb,1,1.0,0.0
471,enliven,enliven,verb,1,1.0,1.0
472,enormous,enorm,anypos,2,-1.0,1.0
473,enormously,enorm,anypos,2,-1.0,1.0
474,enrich,enrich,verb,1,1.0,1.0
475,enslave,enslav,verb,2,-1.0,0.0
476,ensure,ensur,verb,1,1.0,1.0
477,entertain,entertain,verb,1,1.0,0.0
478,enthralled,enthral,anypos,2,1.0,0.0
479,entice,entic,verb,2,1.0,0.0
480,entire,entir,anypos,1,0.0,0.0
481,entrance,entranc,verb,1,1.0,0.0
482,entreat,entreat,verb,2,1.0,0.0
483,entrust,entrust,verb,1,1.0,0.0
484,envision,envis,verb,1,1.0,0.0
485,envy,envi,verb,2,-1.0,0.0
486,eradicate,erad,verb,1,-1.0,0.0
487,erase,eras,verb,1,-1.0,0.0
488,erode,erod,verb,1,-1.0,0.0
489,err,err,verb,2,-1.0,0.0
490,erroneous,erron,anypos,2,-1.0,0.0
491,eschew,eschew,verb,2,-1.0,0.0
492,esteem,esteem,verb,2,1.0,0.0
493,eulogize,eulog,verb,2,1.0,0.0
494,evaluate,evalu,verb,2,0.0,0.0
495,evade,evad,verb,1,-1.0,0.0
496,evident,evid,anypos,1,1.0,0.0
497,exacerbate,exacerb,verb,2,-1.0,0.0
498,exaggerate,exagger,verb,2,-1.0,0.0
499,exalt,exalt,verb,2,1.0,1.0
500,exceed,exceed,verb,2,1.0,0.0
501,excel,excel,verb,2,1.0,0.0
502,excellent,excel,anypos,2,1.0,1.0
503,exceptional,except,anypos,2,1.0,1.0
504,excite,excit,verb,1,1.0,0.0
505,exclaim,exclaim,verb,2,-1.0,0.0
506,exclude,exclud,verb,1,-1.0,0.0
507,excruciating,excruci,anypos,2,-1.0,0.0
508,excuse,excus,verb,1,1.0,0.0
509,exhaust,exhaust,verb,1,-1.0,0.0
510,exhilarating,exhilar,anypos,2,1.0,1.0
511,exhort,exhort,verb,2,-1.0,1.0
512,exile,exil,verb,1,-1.0,0.0
513,exonerate,exoner,verb,2,1.0,0.0
514,expel,expel,verb,1,-1.0,0.0
515,expire,expir,verb,2,-1.0,1.0
516,explode,explod,verb,1,-1.0,1.0
517,exploit,exploit,verb,2,-1.0,0.0
518,expose,expos,verb,1,-1.0,0.0
519,expound,expound,verb,1,0.0,1.0
520,exterminate,extermin,verb,2,-1.0,1.0
521,extinguish,extinguish,verb,1,-1.0,0.0
522,extol,extol,verb,2,1.0,0.0
523,extort,extort,verb,1,-1.0,0.0
524,extraordinary,extraordinari,anypos,2,1.0,1.0
525,extreme,extrem,anypos,2,-1.0,1.0
526,extremely,extrem,anypos,2,-1.0,1.0
527,fabricate,fabric,verb,1,-1.0,1.0
528,facilitate,facilit,verb,1,1.0,0.0
529,fact,fact,anypos,2,0.0,0.0
530,facts,fact,anypos,2,0.0,0.0
531,factual,factual,anypos,1,0.0,0.0
532,fail,fail,verb,1,-1.0,0.0
533,fall,fall,verb,1,-1.0,0.0
534,false,fals,anypos,2,-1.0,0.0
535,falsely,fals,anypos,2,-1.0,0.0
536,falsify,falsifi,verb,2,-1.0,0.0
537,falter,falter,verb,2,-1.0,0.0
538,familiar,familiar,anypos,1,0.0,0.0
539,fancy,fanci,verb,2,1.0,0.0
540,fantastic,fantast,anypos,2,1.0,1.0
541,farcical,farcic,anypos,2,-1.0,0.0
542,fascinate,fascin,verb,2,1.0,1.0
543,fascinating,fascin,anypos,2,1.0,1.0
544,fascination,fascin,anypos,2,1.0,1.0
545,fascist,fascist,anypos,2,-1.0,0.0
546,fathom,fathom,verb,1,1.0,0.0
547,fault,fault,verb,2,-1.0,0.0
548,favor,favor,verb,2,1.0,0.0
549,favorable,favor,anypos,2,1.0,1.0
550,faze,faze,verb,1,-1.0,0.0
551,fear,fear,verb,2,-1.0,0.0
552,fearfully,fear,anypos,2,-1.0,0.0
553,feel,feel,anypos,2,0.0,0.0
554,felt,feel,verb,2,0.0,0.0
555,feeling,feel,verb,2,0.0,0.0
556,feign,feign,verb,1,-1.0,0.0
557,fib,fib,verb,2,-1.0,0.0
558,finally,final,anypos,2,0.0,0.0
559,fine,fine,verb,1,-1.0,0.0
560,flabbergast,flabbergast,verb,2,-1.0,0.0
561,flabbergasted,flabbergast,anypos,2,-1.0,0.0
562,flagrant,flagrant,anypos,2,-1.0,0.0
563,flashy,flashi,anypos,1,-1.0,1.0
564,flatter,flat,verb,2,1.0,0.0
565,flaunt,flaunt,verb,2,-1.0,0.0
566,flirt,flirt,verb,2,-1.0,0.0
567,flirty,flirti,anypos,2,-1.0,0.0
568,floor,floor,verb,1,0.0,0.0
569,flounder,flounder,verb,2,-1.0,0.0
570,fool,fool,anypos,2,-1.0,0.0
571,foolish,foolish,anypos,2,-1.0,0.0
572,force,forc,verb,1,-1.0,1.0
573,forfeit,forfeit,verb,1,-1.0,0.0
574,forget,forget,verb,2,-1.0,0.0
575,forgetful,forget,anypos,2,-1.0,0.0
576,forgive,forgiv,verb,2,1.0,0.0
577,forgiving,forgiv,anypos,2,1.0,0.0
578,forsake,forsak,verb,2,-1.0,0.0
579,forsaken,forsak,anypos,2,-1.0,0.0
580,fortunate,fortun,anypos,2,1.0,1.0
581,foul,foul,verb,1,-1.0,0.0
582,fracture,fractur,verb,1,-1.0,0.0
583,frantically,frantic,anypos,2,-1.0,1.0
584,freak,freak,verb,2,-1.0,0.0
585,freakish,freakish,anypos,2,-1.0,0.0
586,freakish,freakish,anypos,2,-1.0,0.0
587,fret,fret,verb,2,-1.0,0.0
588,fright,fright,anypos,2,-1.0,0.0
589,frighten,frighten,verb,2,-1.0,0.0
590,frolic,frolic,verb,2,1.0,0.0
591,fumble,fumbl,verb,1,-1.0,0.0
592,fun,fun,verb,2,-1.0,0.0
593,frustrate,frustrat,verb,2,-1.0,0.0
